PlaceName;Pokemons
Victory Road;"['Onix', 'Machop', 'Zubat', 'Geodude','Golbat', 'Machoke', 'Marowak', 'Graveler', 'Venomoth', 'Moltres']"
Route 23;"['Ditto', 'Fearow', 'Ekans', 'Sandshrew', 'Spearow', 'Arbok', 'Sandslash', 'Nidorino', 'Nidorina', 'Mankey', 'Primeape', 'Magikarp', 'Poliwag', 'Goldeen', 'Slowbro', 'Kingler', 'Seadra', 'Seaking', 'Poliwhirl']"
Route 22;"['Rattata', 'Nidoran♂', 'Nidoran♀', 'Spearow', 'Mankey', 'Magikarp', 'Poliwag', 'Goldeen', 'Poliwhirl']"
Route 1;"['Pidgey', 'Rattata']"
Viridian City;"['Magikarp', 'Poliwag', 'Goldeen', 'Tentacool']"
Route 2;"['Rattata', 'Pidgey', 'Weedle', 'Caterpie', 'Nidoran♂', 'Nidoran♀', 'Mr. Mime']"
Viridian Forest;"['Weedle', 'Caterpie', 'Kakuna', 'Metapod', 'Pikachu', 'Pidgey', 'Pidgeotto']"
Route 3;"['Pidgey', 'Spearow', 'Rattata', 'Sandshrew', 'Mankey', 'Jigglypuff']"
Mt. Moon;"['Zubat', 'Geodude', 'Paras', 'Clefairy', 'Sandshrew']"
Route 4;"['Rattata', 'Spearow', 'Ekans', 'Sandshrew', 'Mankey', 'Magikarp']"
Cerulean Cave;"['Golbat', 'Magneton', 'Hypno', 'Arbok', 'Sandslash', 'Venomoth', 'Dodrio', 'Parasect', 'Kadabra', 'Raichu', 'Ditto', 'Graveler', 'Gloom', 'Weepinbell', 'Electrode', 'Marowak', 'Rhydon', 'Wigglytuff', 'Chansey', 'Rhyhorn', 'Lickitung', 'Magikarp', 'Poliwag', 'Goldeen', 'Slowbro', 'Krabby', 'Seadra', 'Seaking', 'Mewtwo']"
Cerulean City;"['Magikarp', 'Poliwag', 'Goldeen', 'Psyduck', 'Krabby', 'Seaking', 'Bulbasaur']"
Route 24;"['Weedle', 'Caterpie', 'Oddish', 'Bellsprout', 'Pidgey', 'Kakuna', 'Metapod', 'Abra', 'Venonat', 'Pidgeotto', 'Magikarp', 'Poliwag', 'Goldeen', 'Psyduck', 'Krabby', 'Seaking', 'Charmander']"
Route 25;"['Weedle', 'Caterpie', 'Oddish', 'Bellsprout', 'Pidgey', 'Kakuna', 'Metapod', 'Abra', 'Venonat', 'Pidgeotto', 'Magikarp', 'Poliwag', 'Goldeen', 'Psyduck', 'Krabby', 'Kingler']"
Route 5;"['Oddish', 'Bellsprout', 'Pidgey', 'Rattata', 'Mankey', 'Meowth', 'Abra', 'Jigglypuff', 'Pidgeotto', 'Nidoran♀', 'Machoke']"
Route 9;"['Rattata', 'Spearow', 'Ekans', 'Nidoran♂', 'Nidoran♀', 'Nidorino', 'Nidorina', 'Raticate', 'Fearow']"
Power Plant;"['Voltorb', 'Pikachu', 'Magnemite', 'Magneton', 'Electabuzz', 'Raichu', 'Grimer', 'Muk', 'Electrode', 'Zapdos']"
Rock Tunnel;"['Zubat', 'Geodude', 'Machop', 'Onix']"
Route 10;"['Voltorb', 'Spearow', 'Ekans', 'Sandshrew', 'Magnemite', 'Rattata', 'Nidoran♂', 'Nidoran♀', 'Raticate', 'Machop', 'Magikarp', 'Poliwag', 'Goldeen', 'Poliwhirl', 'Slowpoke', 'Krabby', 'Horsea', 'Kingler']"
Pokémon Tower;"['Gastly', 'Cubone', 'Haunter']"
Route 8;"['Pidgey', 'Pidgeotto', 'Rattata', 'Ekans', 'Sandshrew', 'Vulpix', 'Jigglypuff', 'Mankey', 'Meowth', 'Growlithe', 'Abra', 'Kadabra']"
Saffron City;"['Hitmonlee', 'Hitmonchan']"
Route 7;"['Pidgey', 'Pidgeotto', 'Jigglypuff', 'Oddish', 'Bellsprout', 'Mankey', 'Meowth', 'Growlithe', 'Vulpix', 'Abra']"
Celadon City;"['Magikarp', 'Poliwag', 'Goldeen', 'Poliwhirl', 'Slowpoke', 'Eevee']"
Route 16;"['Spearow', 'Rattata', 'Doduo', 'Raticate', 'Fearow', 'Snorlax']"
Silph Co;"['Lapras']"
Route 6;"['Pidgey', 'Pidgeotto', 'Rattata', 'Jigglypuff', 'Oddish', 'Meowth', 'Mankey', 'Bellsprout', 'Abra', 'Psyduck', 'Golduck', 'Magikarp', 'Poliwag', 'Goldeen', 'Shellder', 'Krabby']"
Diglett's Cave;"['Diglett', 'Dugtrio']"
Route 11;"['Ekans', 'Sandshrew', 'Spearow', 'Drowzee', 'Pidgey', 'Rattata', 'Pidgeotto', 'Raticate', 'Magikarp', 'Poliwag', 'Goldeen', 'Shellder', 'Krabby', 'Tentacool', 'Horsea', 'Nidorina', 'Dugtrio']"
Route 12;"['Oddish', 'Bellsprout', 'Pidgey', 'Venonat', 'Gloom', 'Weepinbell', 'Pidgeotto', 'Farfetchd', 'Slowpoke', 'Slowbro', 'Magikarp', 'Poliwag', 'Tentacool', 'Krabby', 'Horsea', 'Seadra', 'Snorlax']"
Route 13;"['Oddish', 'Bellsprout', 'Pidgey', 'Venonat', 'Gloom', 'Weepinbell', 'Ditto', 'Pidgeotto', 'Farfetchd', 'Magikarp', 'Poliwag', 'Goldeen', 'Tentacool', 'Krabby', 'Horsea', 'Seadra']"
Route 14;"['Oddish', 'Bellsprout', 'Pidgey', 'Venonat', 'Gloom', 'Weepinbell', 'Ditto', 'Pidgeotto', 'Venomoth']"
Route 15;"['Oddish', 'Bellsprout', 'Pidgey', 'Venonat', 'Gloom', 'Weepinbell', 'Ditto', 'Pidgeotto', 'Venomoth']"
Vermillion City;"['Magikarp', 'Poliwag', 'Goldeen', 'Shellder', 'Krabby', 'Tentacool', 'Horsea', 'Staryu', 'Squirtle', 'Farfetchd']"
Safari Zone;"['Nidoran♂', 'Nidoran♀', 'Exeggcute', 'Rhyhorn', 'Venonat', 'Nidorino', 'Nidorina', 'Parasect', 'Scyther', 'Pinsir', 'Chansey', 'Paras', 'Tangela', 'Doduo', 'Kangaskhan', 'Cubone', 'Tauros', 'Marowak', 'Venomoth', 'Magikarp', 'Poliwag', 'Goldeen', 'Psyduck', 'Slowpoke', 'Krabby', 'Dratini', 'Dragonair']"
Fuchsia City;"['Magikarp', 'Poliwag', 'Goldeen', 'Krabby', 'Seaking', 'Gyarados']"
Route 19;"['Tentacool', 'Magikarp', 'Poliwag', 'Goldeen', 'Shellder', 'Horsea', 'Staryu', 'Tentacruel']"
Route 17;"['Spearow', 'Raticate', 'Doduo', 'Fearow', 'Ponyta', 'Dodrio', 'Magikarp', 'Poliwag', 'Goldeen', 'Tentacool', 'Krabby', 'Shellder']"
Route 18;"['Spearow', 'Raticate', 'Doduo', 'Fearow', 'Rattata', 'Magikarp', 'Poliwag', 'Goldeen', 'Tentacool', 'Krabby', 'Shellder']"
Seafoam Islands;"['Seel', 'Horsea', 'Krabby', 'Shellder', 'Staryu', 'Slowpoke', 'Zubat', 'Psyduck', 'Golduck', 'Slowbro', 'Golbat', 'Dewgong', 'Seadra', 'Kingler', 'Magikarp', 'Poliwag', 'Goldeen', 'Articuno']"
Route 20;"['Tentacool', 'Magikarp', 'Poliwag', 'Goldeen', 'Shellder', 'Horsea', 'Staryu', 'Tentacruel']"
Cinnabar Island;"['Magikarp', 'Poliwag', 'Goldeen', 'Shellder', 'Horsea', 'Staryu', 'Tentacool', 'Omanyte', 'Kabuto', 'Aerodactyl', 'Electrode', 'Seel', 'Tangela', 'Rhydon', 'Muk', 'Dewgong']"
Pokémon Mansion;"['Ponyta', 'Koffing', 'Growlithe', 'Vulpix', 'Grimer', 'Weezing', 'Muk', 'Rattata', 'Raticate', 'Magmar', 'Ditto']"
Route 21;"['Rattata', 'Pidgey', 'Pidgeotto', 'Raticate', 'Tangela', 'Tentacool', 'Magikarp', 'Poliwag', 'Goldeen', 'Shellder', 'Horsea', 'Staryu', 'Tentacruel']"
Pallet Town;"['Magikarp', 'Poliwag', 'Goldeen', 'Tentacool', 'Staryu', 'Bulbasaur', 'Charmander', 'Squirtle', 'Pikachu']"
